year,month,day,t(day),p(day),t(night),p(night),wspeed,wdir
1998,1,11,-9,747,-7,738,5,Ю
1998,1,12,-1,741,-1,741,2,СЗ
1998,1,13,-7,743,-8,744,2,СВ
1998,1,14,-12,752,-18,753,2,СЗ
1998,1,15,-16,756,-17,756,0,Ш
1998,1,16,-7,753,-5,751,2,Ю
1998,1,17,-3,751,-4,751,3,ЮВ
1998,1,18,-8,752,-9,751,5,Ю
1998,1,19,-5,752,-6,753,3,ЮВ
1998,1,20,-6,756,-9,757,4,ЮВ
1998,1,21,-8,765,-13,766,2,ЮВ
1998,1,22,-9,768,-9,766,1,ЮЗ
1998,1,23,-7,759,-10,757,3,ЮЗ
1998,1,24,-6,752,-8,750,3,ЮЗ
1998,1,25,-7,753,-14,754,4,СЗ
1998,1,26,-3,753,-5,752,2,З
1998,1,27,-2,744,-2,743,4,ЮЗ
1998,1,28,-5,736,-5,735,7,ЮЗ
1998,1,29,-5,737,-10,739,2,СЗ
1998,1,30,-14,743,-19,743,1,З
1998,1,31,-14,735,-8,731,5,ЮВ
1998,2,1,-12,736,-15,740,3,З
1998,2,2,-17,747,-14,747,2,ЮЗ
1998,2,3,-9,748,-11,746,4,Ю
1998,2,4,-8,736,-9,736,3,Ю
1998,2,5,-9,744,-7,741,2,Ю
1998,2,6,-1,740,-3,740,2,Ю
1998,2,7,-12,747,-16,750,4,С
1998,2,8,-16,753,-15,751,2,ЮЗ
1998,2,9,-7,747,-5,747,4,ЮЗ
1998,2,10,0,746,0,743,3,Ю
1998,2,11,3,738,1,738,4,З
1998,2,12,1,729,0,729,3,СЗ
1998,2,13,-16,739,-20,744,5,С
1998,2,14,-16,744,-17,744,3,СЗ
1998,2,15,-21,747,-22,750,3,СЗ
1998,2,16,-11,737,-8,727,7,ЮЗ
1998,2,17,-6,727,-18,736,5,С
1998,2,18,-17,750,-20,749,3,З
1998,2,19,2,731,2,732,5,З
1998,2,20,0,742,-5,747,5,СЗ
1998,2,21,3,750,2,750,2,ЮЗ
1998,2,22,1,746,1,744,6,ЮЗ
1998,2,23,4,747,0,747,4,ЮЗ
1998,2,24,1,736,1,735,5,ЮЗ
1998,2,25,-11,747,-15,752,7,С
1998,2,26,-13,753,-12,750,3,Ю
1998,2,27,0,742,1,741,4,ЮЗ
1998,2,28,3,735,2,734,5,Ю
1998,3,1,4,737,0,739,6,ЮЗ
1998,3,2,0,741,-1,741,1,ЮЗ
1998,3,3,0,737,-4,739,2,З
1998,3,4,0,744,-1,741,5,Ю
1998,3,5,3,746,3,732,5,Ю
1998,3,6,1,737,-1,742,4,СЗ
1998,3,7,-1,747,-7,747,2,В
1998,3,8,-2,745,-2,743,4,ЮВ
1998,3,9,2,742,2,743,5,Ю
1998,3,10,2,747,1,748,4,Ю
1998,3,11,1,745,0,747,3,Ю
1998,3,12,1,745,1,744,3,В
1998,3,13,1,741,-3,744,6,ЮВ
1998,3,14,0,747,-2,748,4,ЮВ
1998,3,15,0,751,-1,752,3,ЮВ
1998,3,16,-3,755,-6,756,4,В
1998,3,17,-4,756,-6,756,4,В
1998,3,18,-6,753,-6,751,2,В
1998,3,19,-4,744,-5,742,0,Ш
1998,3,20,-3,741,-5,743,0,Ш
1998,3,21,-1,750,-1,753,3,С
1998,3,22,0,754,-1,754,5,С
1998,3,23,2,753,0,754,3,В
1998,3,24,1,757,-3,757,2,В
1998,3,25,5,756,3,755,3,СЗ
1998,3,26,5,754,0,754,2,З
