,year,month,day,td,pd,cloudd,precipd,wdird,wsd,tn,pn,cloudn,precipn,wdirn,wsn
136,1997,8,17,11.0,744,dull,,СЗ,3,8.0,744,dull,rain,СЗ,3
137,1997,8,18,14.0,747,suncl,,СЗ,2,11.0,747,dull,,СЗ,2
138,1997,8,19,18.0,750,suncl,,С,2,11.0,750,sun,,С,2
139,1997,8,20,21.0,753,suncl,,С,2,12.0,753,sunc,,С,2
140,1997,8,21,24.0,753,suncl,,З,3,15.0,753,sun,,З,3
141,1997,8,22,21.0,753,suncl,,СЗ,2,15.0,753,sunc,,СЗ,2
142,1997,8,23,25.0,753,suncl,,С,3,16.0,753,sun,,С,3
143,1997,8,24,27.0,753,sunc,,ЮЗ,2,17.0,753,sun,,ЮЗ,2
144,1997,8,25,28.0,752,sun,,Ю,2,17.0,751,sun,,Ю,2
145,1997,8,26,28.0,750,sunc,,Ш,0,21.0,750,sun,,Ш,0
146,1997,8,27,29.0,750,suncl,,В,2,23.0,750,suncl,,В,2
147,1997,8,28,27.0,748,suncl,,ЮВ,4,23.0,747,suncl,,ЮВ,4
148,1997,8,29,23.0,747,dull,,В,3,20.0,747,suncl,,В,3
149,1997,8,30,23.0,747,dull,,В,2,19.0,747,dull,,В,2
150,1997,8,31,19.0,749,suncl,,СВ,3,12.0,750,sun,,СВ,3
151,1997,9,1,14.0,752,sunc,,СВ,2,9.0,752,suncl,,СВ,2
152,1997,9,2,8.0,753,dull,,С,4,7.0,753,dull,,С,4
153,1997,9,3,8.0,753,dull,,С,3,6.0,753,dull,,С,3
154,1997,9,4,8.0,754,dull,,С,2,5.0,755,suncl,,С,2
155,1997,9,5,12.0,757,suncl,,С,2,7.0,758,sunc,,С,2
156,1997,9,6,14.0,759,suncl,,Ю,1,7.0,757,sun,,Ю,1
157,1997,9,7,19.0,755,sun,,ЮЗ,4,12.0,752,suncl,,ЮЗ,4
158,1997,9,8,14.0,744,dull,rain,Ю,3,12.0,742,dull,rain,Ю,3
159,1997,9,9,17.0,735,dull,,ЮЗ,6,13.0,733,dull,,ЮЗ,6
160,1997,9,10,16.0,735,dull,,ЮЗ,4,12.0,733,dull,,ЮЗ,4
161,1997,9,11,12.0,729,suncl,,З,4,12.0,732,sunc,,З,4
162,1997,9,12,11.0,741,dull,rain,СЗ,3,11.0,744,dull,,СЗ,3
163,1997,9,13,18.0,747,suncl,,ЮЗ,3,14.0,747,dull,,ЮЗ,3
164,1997,9,14,21.0,747,suncl,,ЮЗ,4,16.0,747,suncl,,ЮЗ,4
